科目,年級,題號,題目,A,B,C,D,解答
英文,1,1,請問「蘋果」的英文是什麼？,Apple,Banana,Pear,Grape,A
英文,1,2,請問「貓咪」的英文是什麼？,Fish,Dog,Cat,Bird,C
英文,1,3,請問「紅色」的英文是什麼？,Red,Yellow,Green,Blue,A
英文,1,4,請問「太陽」的英文是什麼？,Moon,Cloud,Sun,Star,C
英文,1,5,請問「書本」的英文是什麼？,Book,Pen,Eraser,Bag,A
英文,1,6,請問「男孩」的英文是什麼？,Girl,Woman,Man,Boy,D
英文,1,7,請問「眼睛」的英文是什麼？,Ear,Eye,Nose,Mouth,B
英文,1,8,請問「車子」的英文是什麼？,Car,Bus,Boat,Train,A
英文,1,9,請問「數字1」的英文是什麼？,One,Two,Three,Four,A
英文,1,10,請問「樹」的英文是什麼？,Grass,Leaf,Tree,Flower,C
英文,2,1,請問「開心」的英文是什麼？,Happy,Angry,Tired,Sad,A
英文,2,2,請問「大」的英文是什麼？,Tall,Small,Big,Short,C
英文,2,3,請問「跑」的英文是什麼？,Walk,Swim,Run,Jump,C
英文,2,4,請問「唱歌」的英文是什麼？,Dance,Sing,Read,Draw,B
英文,2,5,請問「水」的英文是什麼？,Water,Milk,Juice,Tea,A
英文,2,6,請問「房子」的英文是什麼？,Store,School,House,Park,C
英文,2,7,請問「媽媽」的英文是什麼？,Mother,Father,Brother,Sister,A
英文,2,8,請問「頭」的英文是什麼？,Head,Leg,Hand,Foot,A
英文,2,9,請問「黑色」的英文是什麼？,Brown,Gray,Black,White,C
英文,2,10,請問「書桌」的英文是什麼？,Desk,Chair,Bed,Sofa,A
英文,3,1,"""Good morning!"" 你該回答？",Good morning!,Good night.,Hello.,Goodbye.,A
英文,3,2,"""Thank you!"" 你該回答？",You are welcome.,Please.,"No, thanks.",Sorry.,A
英文,3,3,"""How old are you?"" 你該回答？",I am a boy.,I am fine.,I am eight.,I am from Taiwan.,C
英文,3,4,"""What is your name?"" 你該回答？",I am ten.,My name is Tom.,Good morning.,Nice to meet you.,B
英文,3,5,"""Where are you from?"" 你該回答？",I'm from Taiwan.,"Yes, I do.",I like Taiwan.,I go to school.,A
英文,3,6,"""Do you like apples?"" 你該回答？","No, I don't like bananas.","Yes, I am.",I have an apple.,"Yes, I do.",D
英文,3,7,"""What color is it?"" 你該回答？",It is red.,It is a dog.,I like red.,It is big.,A
英文,3,8,"""Is this your book?"" 你該回答？","Yes, it is.","Yes, I am.","No, I am not.",It is a pen.,A
英文,3,9,"""How are you?"" 你該回答？","I am fine, thank you.",I am a student.,I am ten.,Nice to meet you.,A
英文,3,10,"""Nice to meet you."" 你該回答？",Thank you.,"Nice to meet you, too.",Goodbye.,Good morning.,B
英文,4,1,Let's ___ to the park.,goes,going,go,went,C
英文,4,2,She ___ a book now.,reading,is reading,read,reads,B
英文,4,3,___ you like dogs?,Do,Is,Are,Does,A
英文,4,4,He ___ play baseball.,isn't,doesn't,aren't,don't,B
英文,4,5,There ___ a cat on the table.,are,is,be,am,B
英文,4,6,___ are they doing?,Who,What,How,Where,B
英文,4,7,The bird is flying ___ the sky.,in,under,at,on,A
英文,4,8,I ___ an apple every day.,ate,eating,eats,eat,D
英文,4,9,Look ___ the beautiful rainbow!,at,on,to,in,A
英文,4,10,___ pen is this?,Who,What,Whose,Where,C
英文,5,1,"Yesterday, we ___ a great time.",having,have,had,has,C
英文,5,2,___ he go to school yesterday?,Do,Did,Does,Is,B
英文,5,3,I was sleeping ___ you called me.,who,while,when,where,C
英文,5,4,She is ___ than her sister.,taller,tall,tallest,the tallest,A
英文,5,5,He is the ___ boy in the class.,more tall,taller,tall,tallest,D
英文,5,6,___ ever been to Japan?,Have you,Did you,Are you,Were you,A
英文,5,7,I don't know ___ she lives.,when,who,where,what,C
英文,5,8,They ___ playing basketball at 5 PM yesterday.,will be,were,was,are,B
英文,5,9,"If it rains tomorrow, we ___ stay home.",can,will,would,could,B
英文,5,10,This is the book ___ I bought yesterday.,what,whose,which,who,C
英文,6,1,"By the time we arrived, the train ___ left.",have,had,was,has,B
英文,6,2,She ___ TV for two hours.,watches,has been watching,watched,is watching,B
英文,6,3,The house ___ built in 1990.,has,was,were,is,B
英文,6,4,He said that he ___ come to the party.,may,will,would,can,C
英文,6,5,I wish I ___ fly.,can,could,am able to,will,B
英文,6,6,___ of the students passed the exam.,Mostly,Almost,Most,The most,C
英文,6,7,You must finish the work ___ Friday.,until,by,on,in,B
英文,6,8,It is important that everyone ___ on time.,be,are,is,will be,A
英文,6,9,Hardly had I arrived when the phone ___.,rang,ring,ringing,rings,A
英文,6,10,He acts as if he ___ the boss.,was,were,is,be,B
數學,1,1,皮皮有19顆糖果，又買了10顆，總共有幾顆？,29,30,31,28,A
數學,1,2,多多有43顆蘋果，吃掉了18顆，還剩下幾顆？,26,25,27,24,B
數學,1,3,皮皮有47顆糖果，又買了6顆，總共有幾顆？,54,52,53,55,C
數學,1,4,多多有31顆蘋果，吃掉了14顆，還剩下幾顆？,18,19,16,17,D
數學,1,5,皮皮有35顆糖果，又買了22顆，總共有幾顆？,57,56,59,58,A
數學,1,6,多多有59顆蘋果，吃掉了10顆，還剩下幾顆？,48,51,50,49,D
數學,1,7,皮皮有23顆糖果，又買了18顆，總共有幾顆？,41,40,42,43,A
數學,1,8,多多有47顆蘋果，吃掉了26顆，還剩下幾顆？,23,20,21,22,C
數學,1,9,皮皮有51顆糖果，又買了14顆，總共有幾顆？,65,64,67,66,A
數學,1,10,多多有35顆蘋果，吃掉了22顆，還剩下幾顆？,13,12,14,15,A
數學,2,1,皮皮有24顆糖果，又買了12顆，總共有幾顆？,36,37,38,35,A
數學,2,2,多多有48顆蘋果，吃掉了20顆，還剩下幾顆？,28,30,29,27,A
數學,2,3,皮皮有52顆糖果，又買了8顆，總共有幾顆？,60,62,59,61,A
數學,2,4,多多有36顆蘋果，吃掉了16顆，還剩下幾顆？,22,19,21,20,D
數學,2,5,皮皮有40顆糖果，又買了24顆，總共有幾顆？,64,66,65,63,A
數學,2,6,多多有64顆蘋果，吃掉了12顆，還剩下幾顆？,51,52,54,53,B
數學,2,7,皮皮有28顆糖果，又買了20顆，總共有幾顆？,49,48,47,50,B
數學,2,8,多多有52顆蘋果，吃掉了28顆，還剩下幾顆？,23,26,25,24,D
數學,2,9,皮皮有56顆糖果，又買了16顆，總共有幾顆？,72,73,74,71,A
數學,2,10,多多有40顆蘋果，吃掉了24顆，還剩下幾顆？,18,16,15,17,B
數學,3,1,老師準備了11盒鉛筆，每盒有6枝，總共有幾枝？,67,68,65,66,D
數學,3,2,有48個布丁，平分給8個人，每個人可以拿到幾個？,6,5,8,7,A
數學,3,3,老師準備了9盒鉛筆，每盒有2枝，總共有幾枝？,18,20,19,17,A
數學,3,4,有16個布丁，平分給4個人，每個人可以拿到幾個？,5,3,6,4,D
數學,3,5,老師準備了7盒鉛筆，每盒有8枝，總共有幾枝？,56,57,55,58,A
數學,3,6,有56個布丁，平分給8個人，每個人可以拿到幾個？,8,6,7,9,C
數學,3,7,老師準備了5盒鉛筆，每盒有4枝，總共有幾枝？,22,19,21,20,D
數學,3,8,有40個布丁，平分給8個人，每個人可以拿到幾個？,4,7,5,6,C
數學,3,9,老師準備了3盒鉛筆，每盒有10枝，總共有幾枝？,30,31,32,29,A
數學,3,10,有12個布丁，平分給4個人，每個人可以拿到幾個？,2,5,4,3,D
數學,4,1,老師準備了6盒鉛筆，每盒有8枝，總共有幾枝？,50,48,47,49,B
數學,4,2,有12個布丁，平分給2個人，每個人可以拿到幾個？,5,6,8,7,B
數學,4,3,老師準備了4盒鉛筆，每盒有4枝，總共有幾枝？,16,18,15,17,A
數學,4,4,有24個布丁，平分給6個人，每個人可以拿到幾個？,4,5,3,6,A
數學,4,5,老師準備了2盒鉛筆，每盒有10枝，總共有幾枝？,22,19,20,21,C
數學,4,6,有14個布丁，平分給2個人，每個人可以拿到幾個？,7,6,8,9,A
數學,4,7,老師準備了10盒鉛筆，每盒有6枝，總共有幾枝？,60,59,61,62,A
數學,4,8,有10個布丁，平分給2個人，每個人可以拿到幾個？,6,7,5,4,C
數學,4,9,老師準備了8盒鉛筆，每盒有2枝，總共有幾枝？,16,15,17,18,A
數學,4,10,有18個布丁，平分給6個人，每個人可以拿到幾個？,3,2,4,5,A
數學,5,1,一條長59公尺的繩子，剪去8公尺後，剩下的長度是多少？,56公尺,102公尺,46公尺,51公尺,D
數學,5,2,老鷹的飛行速度是每秒38公尺，飛了8秒後，總共飛了多遠？,608公尺,294公尺,304公尺,314公尺,C
數學,5,3,一條長37公尺的繩子，剪去19公尺後，剩下的長度是多少？,13公尺,18公尺,23公尺,36公尺,B
數學,5,4,老鷹的飛行速度是每秒26公尺，飛了4秒後，總共飛了多遠？,94公尺,208公尺,104公尺,114公尺,C
數學,5,5,一條長25公尺的繩子，剪去5公尺後，剩下的長度是多少？,15公尺,40公尺,25公尺,20公尺,D
數學,5,6,老鷹的飛行速度是每秒24公尺，飛了10秒後，總共飛了多遠？,250公尺,480公尺,230公尺,240公尺,D
數學,5,7,一條長63公尺的繩子，剪去16公尺後，剩下的長度是多少？,52公尺,47公尺,42公尺,94公尺,B
數學,5,8,老鷹的飛行速度是每秒42公尺，飛了6秒後，總共飛了多遠？,252公尺,242公尺,262公尺,504公尺,A
數學,5,9,一條長41公尺的繩子，剪去12公尺後，剩下的長度是多少？,58公尺,24公尺,29公尺,34公尺,C
數學,5,10,老鷹的飛行速度是每秒30公尺，飛了2秒後，總共飛了多遠？,70公尺,50公尺,120公尺,60公尺,D
數學,6,1,一條長64公尺的繩子，剪去10公尺後，剩下的長度是多少？,49公尺,54公尺,108公尺,59公尺,B
數學,6,2,老鷹的飛行速度是每秒43公尺，飛了10秒後，總共飛了多遠？,430公尺,440公尺,860公尺,420公尺,A
數學,6,3,一條長42公尺的繩子，剪去6公尺後，剩下的長度是多少？,31公尺,41公尺,36公尺,72公尺,C
數學,6,4,老鷹的飛行速度是每秒31公尺，飛了6秒後，總共飛了多遠？,176公尺,186公尺,372公尺,196公尺,B
數學,6,5,一條長30公尺的繩子，剪去7公尺後，剩下的長度是多少？,46公尺,23公尺,18公尺,28公尺,B
數學,6,6,老鷹的飛行速度是每秒29公尺，飛了2秒後，總共飛了多遠？,68公尺,116公尺,58公尺,48公尺,C
數學,6,7,一條長68公尺的繩子，剪去18公尺後，剩下的長度是多少？,50公尺,45公尺,100公尺,55公尺,A
數學,6,8,老鷹的飛行速度是每秒17公尺，飛了8秒後，總共飛了多遠？,136公尺,272公尺,126公尺,146公尺,A
數學,6,9,一條長46公尺的繩子，剪去14公尺後，剩下的長度是多少？,27公尺,32公尺,37公尺,64公尺,B
數學,6,10,老鷹的飛行速度是每秒35公尺，飛了4秒後，總共飛了多遠？,280公尺,140公尺,150公尺,130公尺,B
